lat,lon,Power
36.1171647,-97.0872193,6.58875
36.1133544,-97.0850353,6.58875
36.1124582,-97.0872163,6.5875
36.1194884,-97.0859712,6.5875
36.1130135,-97.0850243,6.5875
36.1163054,-97.0850683,6.5875
36.1122784,-97.0809588,6.5875
36.1185722,-97.0853303,6.58625
36.1193986,-97.0844157,6.58625
36.1159162,-97.0851262,6.58625
36.1193754,-97.0853979,6.585
36.1161069,-97.0851132,6.585
36.1163326,-97.0850817,6.585
36.1193846,-97.0859331,6.585
36.1171159,-97.0811984,6.585
36.1135234,-97.0805429,6.585
36.1122664,-97.080646,6.585
36.1181173,-97.0834209,6.58375
36.1163908,-97.0811613,6.58375
36.1163153,-97.0850686,6.58375
36.1179306,-97.087189,6.58375
36.1204052,-97.0864178,6.58375
36.1194533,-97.0813792,6.58375
36.1194435,-97.0812394,6.58375
36.1177729,-97.0811684,6.58375
36.1183616,-97.0834054,6.58375
36.112504,-97.0805024,6.58375
36.1123769,-97.0850522,6.58375
36.1149749,-97.0851222,6.58375
36.1204502,-97.0862938,6.58375
36.1204774,-97.0861982,6.5825
36.1194495,-97.0822953,6.5825
36.1185534,-97.0836571,6.5825
36.1144717,-97.0874344,6.5825
36.1201505,-97.0872266,6.5825
36.1194795,-97.085968,6.5825
36.1158384,-97.0833202,6.5825
36.1160157,-97.0834404,6.5825
36.1155563,-97.0805005,6.5825
36.1118728,-97.0846286,6.5825
36.1119444,-97.0854305,6.5825
36.112619,-97.0872378,6.5825
36.1156632,-97.0872277,6.5825
36.1169478,-97.0812018,6.5825
36.1162324,-97.0811462,6.5825
36.115835,-97.0836249,6.5825
36.1185551,-97.0843255,6.5825
36.1174171,-97.0834905,6.5825
36.1119048,-97.0850641,6.58125
36.1123073,-97.0872025,6.58125
36.1141529,-97.0875826,6.58125
36.1194647,-97.0859888,6.58125
36.1194253,-97.0833362,6.58125
36.1177846,-97.081169,6.58125
36.1158304,-97.0824166,6.58125
36.1185721,-97.0851389,6.58125
36.1158234,-97.0827346,6.58125
36.1122225,-97.0848197,6.58125
36.1155108,-97.0850646,6.58125
36.1163775,-97.085109,6.58125
36.1121216,-97.0848596,6.58125
36.1156031,-97.0872303,6.58125
36.1167149,-97.0872575,6.58125
36.1203834,-97.0872081,6.58125
36.1203914,-97.0865902,6.58125
36.1200988,-97.0860844,6.58125
36.1178376,-97.081172,6.58125
36.1185811,-97.0858452,6.58125
36.1185072,-97.0834253,6.58125
36.1177986,-97.0834236,6.58125
36.1165419,-97.0834789,6.58125
36.1158263,-97.0814704,6.58125
36.1158086,-97.0807846,6.58125
36.1156698,-97.0804828,6.58125
36.1120454,-97.0847717,6.58125
36.1144832,-97.0874567,6.58125
36.1190014,-97.0872022,6.58125
36.1158659,-97.0831921,6.58125
36.1136765,-97.0850496,6.58125
36.1136859,-97.0805408,6.58
36.1122717,-97.0832803,6.58
36.1158252,-97.0851091,6.58
36.1118859,-97.0849004,6.58
36.1144591,-97.0875085,6.58
36.1144633,-97.0875221,6.58
36.1145121,-97.0874638,6.58
36.1145807,-97.0874557,6.58
36.1158239,-97.0872639,6.58
36.1194672,-97.085983,6.58
36.1194588,-97.0815688,6.58
36.1159412,-97.0811191,6.58
36.1158353,-97.0816308,6.58
36.1158382,-97.0839106,6.58
36.1175103,-97.0850922,6.58
36.1185585,-97.0858757,6.58
36.118607,-97.0857041,6.58
36.1160239,-97.0834466,6.58
36.1163897,-97.0851372,6.58
36.1164232,-97.0851739,6.58
36.1163336,-97.0850694,6.58
36.1163701,-97.0851103,6.58
36.1144985,-97.0875616,6.58
36.1199454,-97.0860969,6.58
36.1173727,-97.0850913,6.58
36.1138348,-97.0850689,6.58
36.1144101,-97.0851729,6.58
36.117954,-97.0811702,6.58
